ROA,ROE,Operating gross profit margin,cash flow,Debt ratio,Total asset turnover,kMeans_labels,rate
0.236764607,0.169615881,0.328708019,3.901707814,-0.073592603,-0.791617034,4,0
0.146009413,0.118674021,0.219572799,1.331257388,-0.126602802,-0.847591978,4,0
0.087350568,0.067407691,-0.849893214,-0.203389295,-0.358257371,-1.258074899,8,0
0.115019835,0.018088183,-0.148943421,-0.018206536,-1.22709453,-0.922225237,8,0
0.063001614,0.069354513,-0.175561768,-0.142281835,-0.170601267,-0.250525911,9,1
0.96280616,0.3286064,0.37307193,-0.088197705,-1.377643495,-0.119917709,9,0
-0.489276946,-0.210663482,-0.51834692,-0.161829519,-1.688813363,-1.052833439,8,0
-0.158352518,0.058971459,0.219868558,-0.109647049,0.889072608,0.514464988,3,0
0.066321926,0.034960646,0.356805163,-0.080837607,-0.681619584,-0.157234338,9,0
0.542233309,0.366893913,-0.19922252,0.01786021,0.04462014,1.727255437,3,0
-0.74826128,-0.378414702,-0.603525628,-0.136511266,0.640454776,-0.754300405,1,0
0.323092719,0.319196757,-0.173787212,-0.175108826,0.536024684,0.812998021,3,0
0.181426074,0.338016043,0.374846487,8.281237411,0.971768519,0.365198471,7,0
-0.146178041,-0.007220512,0.330186816,-0.121921601,0.179266046,-0.698325461,1,1
0.52673852,0.193951165,-0.062877434,-0.06375743,-1.129555765,0.327881842,9,0
0.209095341,0.220882212,-0.317526283,-0.153631093,0.149580334,1.279455886,3,1
0.143795872,0.020683947,-0.166984745,-0.172845273,-1.451857774,0.309223527,9,0
0.088457339,0.149174243,-0.321075396,-0.051488425,0.33246552,1.111531055,3,0
0.942884288,0.431463532,0.181124076,0.182548942,-0.527890007,1.055556111,9,0
1.387806093,0.477213864,-0.012302576,0.617024762,-1.303959319,-0.996858495,9,0
0.429342702,0.363324738,-0.010528019,-0.354349206,0.461810406,0.663731505,3,0
1.90245445,0.762098916,-0.228206942,-0.05058891,-0.970525168,4.003569818,6,0
-0.364211861,-0.150636449,1.055980399,-0.151508348,-0.372040023,0.085323752,9,0
-0.079771802,-0.060433665,0.203306031,-0.093876739,-1.407859309,-0.586375574,8,0
0.724850468,0.325361696,0.730349293,-0.247943265,-0.907973133,-1.314049843,9,0
-0.686282123,-0.304435441,0.202714512,-0.162952404,-0.178552797,-0.231867596,8,0
2.205709611,0.910706381,0.715561322,-0.143138438,-1.07495526,0.589098246,0,0
-0.250214483,-0.108779762,-0.180885437,1.130497342,-0.773327228,-0.642350517,8,0
-0.1439645,-0.046481436,-0.214897769,4.464386128,-0.328041558,-0.455767371,4,0
0.413847913,0.240350439,-0.025907508,0.665107611,-0.435652261,-0.101259394,9,0
1.072376455,0.422053889,0.079974359,-0.04860208,-1.026715979,0.607756561,9,1
-0.56343058,-0.247328642,0.00958362,-0.230031285,0.184036963,-0.325159169,1,0
0.934030123,0.42270283,-0.057849524,0.153394086,-0.897371093,-0.716983776,9,0
2.257727832,1.095654535,-0.047497945,-0.071678643,-0.739400701,2.007130156,0,1
0.429342702,0.125487901,-0.532247612,-0.127922555,-1.485784301,0.309223527,9,0
0.772441606,0.21925986,-0.089200021,0.494781452,-1.63739347,-0.437109057,9,0
0.746985881,0.505118323,-0.379044239,-0.128888803,-0.088435459,0.812998021,3,1
-0.41290977,-0.176269614,-0.636946441,-1.055738007,-0.676318564,-1.034175124,8,0
4.894055543,1.550562101,-0.137408805,0.108988593,-2.046632205,-0.996858495,0,1
-0.383026962,-0.11526917,-0.024132952,-0.152865534,0.954805255,-1.034175124,1,1
-0.298912392,-0.117864934,-0.055779208,-0.016113977,-0.429291037,-0.455767371,8,0
0.680579642,0.476889394,-0.287063064,-0.095259868,0.029247183,-0.567717259,9,1
0.312025012,0.297781708,0.103930871,-0.193344521,0.404559391,-0.157234338,3,0
-0.317727493,-0.146093863,-0.130014819,-0.188467267,-1.243527692,0.253248583,8,1
6.604016212,2.209237107,1.32926209,-0.182293361,-1.475712363,0.980922853,0,1
-0.275670208,-0.125652225,-0.298597681,2.996621716,-1.037318018,-0.474425686,4,0
-2.415057894,-0.833971209,-2.046240011,-0.336454521,-1.798014372,-1.090150068,8,0
-0.291164998,-0.118838345,0.025258869,-0.062943086,-0.456856341,-0.231867596,8,0
-0.225865529,-0.094503062,0.245599626,-0.162652837,-0.682679788,-0.605033888,8,0
-1.332636188,-0.467644075,-1.813477359,-0.183787767,-2.259733204,-1.146125012,8,0
0.737024945,0.421080477,0.053651772,-0.128383652,-0.136144638,0.980922853,3,0
0.733704633,0.31400523,0.110733337,-0.255282152,-1.010812919,0.290565213,9,0
-0.263495731,-0.058486842,-0.065539269,3.047237011,0.589564985,-0.698325461,4,0
-0.305553016,0.028795708,-0.031822697,-1.002121011,1.619553149,-0.996858495,1,0
0.00655631,-0.034476029,0.433998368,-0.173658801,-1.44549655,-0.791617034,8,0
-1.1511258,-0.678874336,-0.781572791,-0.203518846,0.88960271,-0.28784254,1,0
-0.347610301,-0.148689626,-0.37874848,-0.184347577,-0.840120079,-1.052833439,8,0
-0.944159687,-0.460830196,-16.26191586,-0.591199495,0.244998692,-1.351366472,2,0
-1.924758491,-0.766481356,-0.00520435,-0.1460659,-1.405208799,-0.828933664,8,0
-1.584979899,-1.635737682,-6.123579183,-0.214606064,1.937614342,-1.276733214,10,0
0.066321926,0.033662764,0.21395337,-0.116851979,-0.642922139,-1.052833439,8,0
1.971074231,0.584613582,-2.791849474,-0.100268794,-1.867987835,-1.22075827,9,1
-0.488170175,-0.184056905,1.914569955,-0.134125178,2.026141374,-0.940883551,1,0
-0.306659787,-0.141551277,-0.33379305,0.391437745,-1.196878717,-0.679667147,8,0
-1.292792445,-0.49295277,2.114503313,-0.192704271,-1.461929711,-1.332708158,8,0
-0.319941035,0.000242308,0.252106333,-0.127516443,1.675213858,-1.071491753,1,0
-0.371959256,-0.148365156,1.549898607,-0.08621887,-0.113350252,-1.258074899,1,0
-0.09415982,0.059944871,1.26449078,-0.192013931,1.313154199,-1.202099956,1,1
-1.028274257,-0.375494468,-0.689591616,-0.0314351,-2.01058527,-1.276733214,8,0
-0.292271768,-0.100992471,-0.364552028,-0.096447365,0.045680344,-0.623692203,1,1
-1.886021518,-1.180181175,-0.790445573,-0.197986005,0.763438437,-0.28784254,10,0
-0.438365495,-0.168482324,-0.200701317,-0.154874554,0.642045082,-1.01551681,1,0
-0.54682902,-0.292430034,0.163674271,-0.32642998,2.169799013,-1.164783326,1,0
-0.550149332,-0.236296647,-0.509769897,-0.097593581,-0.592032348,-0.474425686,8,0
-0.738300344,-0.299568384,-0.659719916,-0.180742012,-1.379763903,-0.493084001,8,0
-0.47931601,-0.193791018,0.296766004,-0.437257951,0.90815628,-1.127466697,1,0
-0.251321254,-0.085093419,-0.592286771,-0.211132824,-0.193395652,0.066665437,3,0
-0.669680563,-0.552006391,-0.504150468,-0.620646412,2.001226581,-0.791617034,1,0
-0.426191018,-0.186652669,-0.557091402,-0.243829938,-1.355909314,0.066665437,8,0
0.215735965,0.013870067,-0.299484959,-0.17000494,-1.941672011,-0.474425686,8,0
-0.381920192,-0.178865378,-0.040695479,-0.189103927,-2.152122501,-1.052833439,8,0
-0.128469711,-0.069843308,-0.565372665,-0.194428899,-1.158711374,-0.231867596,8,0
-0.542401937,-0.230780649,-0.610919614,-0.078659714,-0.97105527,0.19727364,8,0
-0.380813421,-0.039343086,-0.121142037,-0.206325893,1.887254653,-1.127466697,1,1
-0.096373361,0.069354513,-0.419267519,-0.136143335,0.590095087,-1.071491753,1,0
-0.760435757,-0.366084825,-0.786009182,-0.179147588,0.311791543,-0.791617034,1,0
-1.353664831,-0.993286198,-0.413056571,-0.270511577,1.417054189,-0.343817484,1,0
-0.3287952,-0.157125858,-0.075890848,-0.16983623,-1.6188399,-1.034175124,8,0
-0.645331609,-0.341749542,-0.215489288,-0.078823366,1.284528692,-0.474425686,1,0
-0.740513885,-0.29632368,-0.374903608,-0.014680594,-1.825579676,-0.97820018,8,0
-0.406269146,-0.15128539,-0.327286343,-0.182908973,0.456509386,0.085323752,1,0
0.5765432,0.596943459,0.1190146,-0.187614254,0.727391502,0.775681392,3,1
-0.199303033,-0.014358862,-0.280852116,-0.205449548,0.578962945,-0.698325461,1,0
-0.062063471,-0.059784724,-0.110494699,-0.179855224,-1.460339405,-0.343817484,8,0
2.544381433,1.295852801,-0.347989502,-0.225034923,-0.562876739,0.066665437,0,1
-3.455422314,-4.093601313,-0.524262108,-0.1892573,2.134812282,-0.97820018,10,0
-1.439992942,-0.635719766,-0.311019576,-0.247206097,-0.545913475,0.701048134,8,0
-0.231399382,-0.060758136,-0.227319664,-0.195463186,0.165483394,0.066665437,3,1
-0.074237948,-0.046156965,-0.088904262,-0.245533518,-1.35749962,-0.082601079,8,0
1.29815767,0.489543741,0.204489069,0.165793784,-0.937658845,0.757023078,9,0
0.760267129,0.424649652,0.017569124,-0.004010745,0.013344123,1.428722403,3,0
0.001022457,0.028471237,-0.097777044,-0.000333062,-0.334932883,-0.194550967,9,0
0.313131783,0.164099884,0.050989937,0.23655459,-0.487602256,-0.511742315,9,0
-2.193703762,-1.605886401,-0.579273357,-0.282679421,0.814328228,-0.716983776,10,0
0.225696901,0.201089515,0.096536886,-0.001972356,0.235456856,-0.101259394,3,0
-1.068118001,-1.988437057,-0.457124723,-0.207281699,2.462945413,-0.418450742,10,0
0.389498958,0.483378803,-0.012006816,-0.522139983,0.947913929,-0.194550967,3,0
0.176998991,0.155663652,-0.120550518,-0.187740052,0.022355857,0.253248583,3,0
0.640735898,0.550868656,-0.130902098,-0.164571628,0.81485833,1.223480943,3,0
0.168144826,0.018412653,-0.500305596,-0.191910486,-1.656477141,1.913838583,9,0
0.055254219,0.013870067,-0.188279422,-0.16545499,-0.796651716,0.010690494,9,1
0.0408662,0.184541522,-0.170829617,-0.167004218,0.741174154,0.477148359,3,0
-0.013365562,0.072274747,-0.22938998,-0.138442131,0.36162113,1.09287274,3,0
-0.399628522,-0.10748188,-0.058441043,-0.145044339,1.341779707,-0.194550967,1,0
-0.346503531,-0.110726584,-0.191828535,-0.199994209,0.583203761,-0.642350517,1,0
0.266647415,0.061242752,-0.384367909,-0.168678266,-1.432774102,-0.97820018,8,0
0.632988503,0.326659577,0.023780072,-0.156729059,-0.345534923,-0.007967821,9,0
0.408314059,0.108615437,0.105409668,-0.166418628,-1.384004719,0.029348808,9,0
-0.763756069,-0.382308348,0.143562631,-0.185247418,0.593805801,-0.157234338,1,0
-0.117402004,-0.028635561,-0.115226849,-0.175706001,-0.593622654,-0.698325461,8,0
0.574329658,0.429841179,-0.183843031,-0.173151039,0.043029834,-0.455767371,9,1
-0.63094359,-0.260956401,-0.27434541,-0.167340333,-1.336825642,-0.661008832,8,0
-0.256855107,-0.012736509,0.099790239,-0.513163108,1.010465964,-0.791617034,1,0
-0.559003497,-0.250897817,0.186151986,-0.346168075,0.659008345,-0.493084001,1,0
-0.26238896,-0.060109195,-0.469842377,-0.146291064,0.571011415,1.204822628,3,0
-0.317727493,-0.06400284,0.022301275,-0.103333802,1.053934327,-0.810275349,1,0
1.002649904,0.382144024,0.044187471,-0.036781119,-0.979536902,1.09287274,9,0
-0.618769113,-0.357648594,-0.274936928,-0.160391242,0.903915464,-0.605033888,1,0
-0.545722249,-0.250248876,-0.363073231,-0.188923796,1.409632761,-0.250525911,1,0
-0.644224838,-0.263552164,-0.231460296,-0.181150245,-1.615659288,-0.996858495,8,0
0.884225443,0.730300813,-0.04513187,-0.189355687,0.53761499,1.484697347,3,0
0.662871311,0.28512736,0.18881382,-0.124912696,-0.452615525,0.458490044,9,0
0.146009413,0.1397646,0.24352931,-0.363190819,0.248709406,-0.250525911,1,0
-0.483743092,-0.20190278,-0.36366475,-0.159942055,0.410920615,-0.325159169,1,0
0.480254152,0.311409466,0.13409833,-0.007211504,0.093389523,0.309223527,3,0
0.237871378,0.22704715,-0.097481285,-0.098117496,0.119894623,-0.586375574,9,0
0.216842735,0.228669503,0.126112826,-0.185108241,0.34306756,-0.101259394,3,1
-0.126256169,-0.015007803,0.003372673,-0.499912028,0.070595138,-0.325159169,1,1
0.908574398,0.614140393,0.820260152,0.098809047,0.026596673,-0.474425686,9,0
-3.220786934,-3.158477487,-0.238262762,-0.235653865,1.889905163,0.066665437,10,0
0.12498077,0.089147211,0.567681619,-0.189678586,-0.287223704,-0.605033888,9,0
0.844381699,0.929201196,0.59252541,-0.253369561,0.956395561,1.036897797,3,1
-0.014472333,0.00835407,-0.27907756,-0.164524801,-0.543262965,-0.847591978,8,0
1.132142071,0.591427462,-0.102804954,-0.065629883,-0.49661399,-0.213209282,9,0
0.281035433,0.187137285,-0.315751726,-0.851843445,-0.148336983,0.103982067,9,0
-0.170526996,-0.063029429,-0.505333506,-0.146048931,-0.498204296,-0.231867596,8,0
-0.008938479,0.167669059,-0.384663668,-0.492705793,0.984490966,0.141298696,3,0
-0.27788375,-0.125652225,0.147407503,-0.182266602,-0.824217019,-0.716983776,8,0
0.963912931,0.302648764,-0.292386733,-0.244416181,-1.666549079,0.066665437,9,1
0.072962549,-0.009491805,-0.014077132,-0.150530679,-1.419521552,0.234590269,8,0
0.672832247,0.343532041,-0.136521526,-0.187100129,-0.244285443,0.551781617,9,0
-0.627623278,-0.28204698,-0.502080152,-0.187954121,0.028186979,0.421173415,3,0
0.034225576,0.046317112,-0.217263844,-0.214326241,-0.227852282,0.589098246,3,0
0.815605662,0.212770451,-0.286175786,-0.170274974,-1.952804153,-0.269184225,9,1
-0.195982721,0.053779932,-0.140366399,-0.241143957,1.106414424,0.533123302,3,0
0.347441673,0.260467606,0.429857736,-0.124704664,0.061583404,-0.082601079,9,0
-0.05984993,0.266632545,0.35325605,0.357670447,1.449390411,-0.007967821,1,0
1.218470182,0.584613582,1.787984929,-0.04850353,-0.32327064,0.048007123,9,0
