,ID,ROA,ROE,Operating gross profit margin,cash flow,Debt ratio,Total asset turnover,After-tax net profit growth rate,Growth_CLass
0,1101,6.74,11.93,32.87,"25,091,819",43.82,0.3,9.96,1
1,1102,5.92,10.36,29.18,"9,337,891",42.82,0.27,-15.6,1
2,1103,5.39,8.78,-6.98,"-67,742",38.45,0.05,30.48,2
3,1104,5.64,7.26,16.72,"1,067,217",22.06,0.23,10.35,1
4,1108,5.17,8.84,15.82,"306,777",41.99,0.59,754.54,3
5,1109,13.3,16.83,34.37,"638,251",19.22,0.66,-0.67,1
6,1110,0.18,0.21,4.23,"186,972",13.35,0.16,-49.01,0
7,1201,3.17,8.52,29.19,"506,791",61.98,1.0,-60.31,0
8,1203,5.2,7.78,33.82,"683,360",32.35,0.64,-3.28,1
9,1210,9.5,18.01,15.02,"1,288,265",46.05,1.65,36.93,2
10,1213,-2.16,-4.96,1.35,"342,144",57.29,0.32,36.76,2
11,1215,7.52,16.54,15.88,"105,585",55.32,1.16,-10.06,1
12,1216,6.24,17.12,34.43,"51,933,338",63.54,0.92,8.13,1
13,1217,3.28,6.48,32.92,"431,562",48.59,0.35,281.73,3
14,1218,9.36,12.68,19.63,"788,042",23.9,0.9,46.26,2
15,1219,6.49,13.51,11.02,"237,219",48.03,1.41,299.8,3
16,1220,5.9,7.34,16.11,"119,458",17.82,0.89,35.45,2
17,1225,5.4,11.3,10.9,"863,237",51.48,1.32,5.64,1
18,1227,13.12,20.0,27.88,"2,297,619",35.25,1.29,-5.76,1
19,1229,17.14,21.41,21.34,"4,960,460",20.61,0.19,11.23,1
20,1231,8.48,17.9,21.4,"-992,954",53.92,1.08,30.69,2
21,1232,21.79,30.19,14.04,"868,750",26.9,2.87,32.38,2
22,1233,1.31,2.06,57.46,"250,229",38.19,0.77,-63.43,0
23,1234,3.88,4.84,28.63,"603,445",18.65,0.41,5.16,1
24,1235,11.15,16.73,46.45,"-340,807",28.08,0.02,39.98,2
25,1236,-1.6,-2.68,28.61,"180,090",41.84,0.6,-98.86,0
26,1256,24.53,34.77,45.95,"301,527",24.93,1.04,41.83,2
27,1301,2.34,3.35,15.64,"8,107,461",30.62,0.38,-46.32,0
28,1303,3.3,5.27,14.49,"28,540,395",39.02,0.48,15.85,2
29,1304,8.34,14.11,20.88,"5,255,153",36.99,0.67,123.25,3
30,1305,14.29,19.71,24.46,"880,927",25.84,1.05,156.7,3
31,1307,-0.49,-0.92,22.08,"-231,027",48.68,0.55,-49.35,0
32,1308,13.04,19.73,19.8,"2,118,933",28.28,0.34,34.42,2
33,1309,25.0,40.47,20.15,"739,494",31.26,1.8,382.39,3
34,1310,8.48,10.57,3.76,"394,783",17.18,0.89,-67.14,0
35,1312,11.58,13.46,18.74,"4,211,248",14.32,0.49,98.54,3
36,1313,11.35,22.27,8.94,"388,861",43.54,1.16,1620.43,3
37,1314,0.87,1.27,0.22,"-5,291,667",32.45,0.17,-61.08,0
38,1315,48.82,54.49,17.11,"1,846,778",6.6,0.19,677.81,3
39,1316,1.14,3.15,20.94,"241,911",63.22,0.17,186.93,3
40,1319,1.9,3.07,19.87,"1,080,042",37.11,0.48,-59.98,0
41,1321,10.75,21.4,12.05,"594,968",45.76,0.42,510.79,3
42,1323,7.42,15.88,25.27,"-6,179",52.84,0.64,-0.05,1
43,1324,1.73,2.2,17.36,"23,713",21.75,0.86,412.34,3
44,1325,64.27,74.79,66.7,"61,552",17.37,1.25,5707.2,3
45,1326,2.11,2.83,11.66,"19,544,674",25.64,0.47,-37.43,0
46,1337,-17.22,-19.0,-47.43,"-883,280",11.29,0.14,-104.48,0
47,1338,1.97,3.04,22.61,"793,033",36.59,0.6,-26.67,1
48,1339,2.56,3.79,30.06,"181,926",32.33,0.4,-67.92,0
49,1340,-7.44,-7.71,-39.56,"52,393",2.58,0.11,11.08,1
50,1341,11.26,19.68,23.57,"391,957",42.64,1.25,10.57,1
51,1342,11.23,16.38,25.5,"-385,786",26.14,0.88,8.7,1
52,1402,2.22,4.9,19.54,"19,854,888",56.33,0.35,-21.02,1
53,1409,1.84,7.59,20.68,"-4,963,056",75.76,0.19,61.67,2
54,1410,4.66,5.64,36.43,"114,472",17.94,0.3,-5.63,1
55,1413,-5.8,-14.22,-4.67,"-68,536",61.99,0.57,-336.34,0
56,1414,1.46,2.12,8.95,"48,962",29.36,0.16,60.93,2
57,1416,-3.93,-7.5,-528.08,"-2,444,576",49.83,0.0,-157.04,0
58,1417,-12.79,-16.92,21.58,"283,585",18.7,0.28,-211.25,0
59,1418,-9.72,-43.71,-185.29,"-136,488",81.76,0.04,-6.61,1
60,1419,5.2,7.74,28.99,"462,633",33.08,0.16,-3.78,1
61,1423,22.41,24.72,-72.64,"564,269",9.97,0.07,1078.42,3
62,1432,0.19,1.03,86.49,"356,768",83.43,0.22,102.45,3
63,1434,1.83,2.34,10.47,"3,577,869",22.63,0.36,-64.06,0
64,1435,-7.08,-8.49,93.25,"-2,255",17.63,0.01,-203.69,0
65,1436,1.71,6.71,30.28,"397,272",76.81,0.15,-23.44,1
66,1437,1.24,2.13,74.16,"650,379",43.07,0.05,-60.25,0
67,1438,3.75,8.55,64.51,"1,976",69.98,0.08,536.53,3
68,1439,-4.69,-4.87,-1.56,"986,141",7.28,0.04,-125.31,0
69,1440,1.96,3.59,9.43,"587,690",46.07,0.39,731.28,3
70,1441,-12.44,-29.67,-4.97,"-34,626",59.61,0.57,12.03,2
71,1442,0.64,1.51,14.97,"229,598",57.32,0.18,-23.53,1
72,1443,-0.34,-2.31,27.29,"-821,841",86.14,0.1,-2158.78,0
73,1444,-0.37,-0.58,4.52,"580,665",34.04,0.47,-569.89,0
74,1445,-2.07,-2.53,-0.55,"71,060",19.18,0.46,-43.77,0
75,1446,0.27,0.73,31.79,"-1,501,090",62.34,0.12,-2664.83,0
76,1447,2.33,4.08,1.73,"-115,201",41.56,0.76,-69.77,0
77,1449,-1.45,-10.31,4.71,"-2,625,052",82.96,0.3,-15.14,1
78,1451,0.75,0.95,2.92,"-315,597",19.63,0.76,-506.22,0
79,1452,6.55,7.13,11.63,"136,866",8.58,0.47,-44.62,0
80,1453,1.15,1.19,20.38,"19,811",4.61,0.16,133.69,3
81,1454,3.44,4.55,2.64,"-12,825",23.35,0.6,-209.73,0
82,1455,-0.3,-0.41,1.1,"696,708",26.89,0.83,86.74,3
83,1456,1.16,5.49,17.66,"-85,740",80.81,0.12,165.22,3
84,1457,3.73,8.84,7.58,"344,399",56.34,0.15,-2.45,1
85,1459,-2.27,-4.58,-4.82,"80,832",51.09,0.3,-117.5,0
86,1460,-7.63,-23.91,7.79,"-479,125",71.94,0.54,-244.54,0
87,1463,1.63,1.86,19.19,"137,900",14.67,0.17,-49.64,0
88,1464,-1.23,-3.83,14.47,"695,705",69.44,0.47,-133.63,0
89,1465,-2.09,-2.43,9.08,"1,088,827",10.77,0.2,-102.68,0
90,1466,0.93,2.04,10.69,"57,779",53.82,0.77,140.88,3
91,1467,9.81,25.1,25.78,"28,941",58.93,1.14,195.55,3
92,1468,2.8,6.26,12.26,"-80,369",56.13,0.35,-13.1,1
93,1470,4.04,4.86,18.02,"76,495",17.66,0.54,-53.32,0
94,1471,27.59,46.64,9.99,"-200,405",34.59,0.76,211.09,3
95,1472,-26.62,-119.46,4.03,"18,871",85.48,0.2,-866.58,0
96,1473,-8.41,-12.89,11.24,"-336,289",34.91,1.1,-539.67,0
97,1474,2.51,4.83,14.07,"-19,164",48.33,0.76,158.16,3
98,1475,3.93,5.28,18.75,"-326,038",19.6,0.68,-75.44,0
99,1476,16.33,21.79,28.67,"2,194,929",27.52,1.13,-1.04,1
100,1477,11.47,19.79,22.35,"1,154,221",45.46,1.49,7.77,1
101,1503,4.61,7.58,18.45,"1,176,761",38.89,0.62,-8.17,1
102,1504,7.43,11.76,23.48,"2,628,612",36.01,0.45,8.32,1
103,1506,-15.22,-42.79,2.17,"-553,700",60.57,0.34,-0.88,1
104,1507,6.64,12.9,25.02,"1,166,714",49.65,0.67,37.36,2
105,1512,-5.05,-54.58,6.3,"-91,598",91.67,0.5,72.78,2
106,1513,8.12,21.6,21.35,"-2,021,320",63.09,0.62,142.85,3
107,1514,6.2,11.5,17.68,"28,170",45.63,0.86,7.64,1
108,1515,10.39,23.68,17.33,"170,166",60.58,1.38,-35.38,0
109,1516,6.12,7.27,4.84,"2,610",13.96,1.75,115.32,3
110,1517,5.1,7.13,15.39,"164,752",30.18,0.73,1167.18,3
111,1519,4.97,12.39,15.98,"155,257",59.19,0.98,10.2,1
112,1521,4.48,8.93,14.0,"330,310",52.03,1.31,-55.68,0
113,1522,0.99,3.39,19.78,"289,846",70.52,0.62,-59.73,0
114,1524,1.47,3.29,15.27,"-46,934",56.21,0.38,-75.85,0
115,1525,7.01,8.59,8.76,"144,997",18.18,0.2,11.76,2
116,1526,10.32,16.77,22.56,"218,232",38.69,0.72,122.57,3
117,1527,8.29,10.05,25.32,"158,846",19.1,0.74,-29.05,0
118,1528,-2.3,-5.08,26.61,"43,447",56.41,0.64,56.78,2
119,1529,3.54,5.82,17.86,"101,925",34.01,0.35,47.88,2
120,1530,9.79,19.95,15.54,"117,584",46.02,0.48,451.68,3
121,1531,-1.1,-1.34,12.48,"153,197",19.99,0.37,-285.37,0
122,1532,2.28,6.31,25.13,"-1,966,302",64.27,0.3,19.61,2
123,1533,-0.45,-1.03,28.05,"-942,813",57.64,0.46,-104.12,0
124,1535,2.23,4.85,5.87,"282,205",55.98,1.37,55.63,2
125,1536,1.73,4.73,22.51,"545,484",65.09,0.29,-56.27,0
126,1537,13.66,18.48,23.25,"953,376",26.73,1.31,-12.7,1
127,1538,-0.99,-4.32,12.46,"195,787",62.26,0.4,91.67,3
128,1539,-0.33,-1.01,9.48,"20,915",71.8,0.59,-126.6,0
129,1540,-1.22,-1.42,13.93,"68,558",14.73,0.19,-117.88,0
130,1541,12.59,29.21,20.23,"18,268",55.35,1.52,81.55,3
131,1558,10.59,15.49,28.14,"413,230",36.67,0.97,22.91,2
132,1560,5.92,11.01,29.99,"-1,047,143",49.9,0.59,0.05,1
133,1568,0.23,0.48,9.46,"198,540",52.96,0.55,-62.99,0
134,1582,8.94,16.3,26.29,"1,134,604",46.97,0.89,3.4,1
135,1583,6.75,13.7,18.46,"577,454",47.47,0.41,108.09,3
136,1587,6.56,13.75,26.02,"44,300",51.68,0.67,8057.35,3
137,1589,3.46,6.24,21.87,"-1,885,088",46.54,0.55,215.87,3
138,1590,12.81,25.63,49.49,"1,784,389",45.71,0.47,77.7,3
139,1592,-24.5,-90.64,13.7,"-265,487",80.86,0.76,-303.88,0
140,1597,5.73,9.45,40.95,"16,289",39.79,0.4,16.29,2
141,1598,12.23,35.34,41.79,"-374,064",63.25,1.28,498.86,3
142,1603,4.47,6.96,12.32,"170,453",34.96,0.27,40.2,2
143,1604,14.83,24.93,18.28,"776,566",35.84,0.61,137.56,3
144,1605,7.14,12.47,11.08,"-4,042,026",42.41,0.78,85.18,3
145,1608,3.06,4.76,4.67,"283,689",35.81,0.6,-49.25,0
146,1609,4.52,11.87,8.75,"-1,840,922",63.78,0.8,76.75,2
147,1611,2.09,2.83,26.74,"61,716",29.66,0.34,-89.69,0
148,1612,13.31,16.03,11.87,"-319,190",13.77,0.76,156.79,3
149,1614,5.26,6.41,21.28,"256,221",18.43,0.85,42.48,2
150,1615,10.68,17.29,17.14,"32,092",40.6,1.02,34.56,2
151,1616,-1.07,-1.99,4.78,"26,858",45.74,0.95,102.93,3
152,1617,4.91,8.13,14.41,"-134,773",40.91,1.04,64.29,2
153,1618,11.97,13.26,12.08,"135,211",8.37,0.58,256.16,3
154,1626,2.83,8.36,17.01,"-299,135",66.08,1.01,-39.24,0
155,1701,7.74,14.73,36.29,"414,505",46.37,0.68,45.39,2
156,1702,4.06,14.92,33.7,"3,370,914",72.55,0.72,-1.75,1
157,1707,15.61,24.72,82.21,"881,531",39.11,0.75,-2.24,1
158,1708,-0.43,-0.89,20.75,"783,694",51.2,0.33,-36.6,0
159,1709,4.62,7.03,17.54,"362,310",32.69,0.76,159.45,3
160,1710,-4.65,-10.43,2.76,"-1,401,260",56.28,0.53,-476.32,0
161,1711,3.08,5.01,20.19,"-293,697",36.58,0.58,-41.29,0
162,1712,3.85,8.2,26.91,"1,086,076",52.48,1.16,5.99,1
163,1713,5.05,5.38,13.93,"189,065",5.83,0.19,-5.22,1
164,1714,10.93,17.42,23.24,"445,919",32.69,1.08,569.1,3
165,1717,5.61,13.67,23.16,"366,187",58.64,0.7,2.68,1
166,1718,0.6,6.92,38.01,"14,041,727",91.3,0.04,56.88,2
167,1720,8.19,11.98,44.59,"356,810",30.41,0.62,32.98,2
168,1721,11.71,22.28,5.06,"420,686",48.38,0.61,7724.05,3
169,1722,3.6,5.37,25.46,"5,207,905",32.79,0.13,18.84,2
170,1723,5.72,9.57,20.88,"796,260",41.51,0.45,-45.45,0
171,1724,0.75,1.12,12.64,"47,711",38.01,0.59,-64.23,0
172,1725,0.4,0.62,5.46,"397,450",35.79,1.3,27.93,2
173,1726,8.66,10.11,26.51,"496,485",14.81,0.8,21.64,2
174,1727,-6.51,-11.44,10.92,"-576,966",44.8,0.74,-587.72,0
175,1730,13.92,20.04,45.69,"-241,655",28.01,1.17,5.27,1
176,1731,7.65,10.97,63.48,"22,769",24.24,0.41,69.97,2
177,1732,5.85,7.72,44.99,"1,330",24.61,1.0,55.26,2
178,1733,3.35,5.51,22.55,"509,989",37.91,0.73,-16.24,1
179,1734,-2.7,-5.13,36.66,"-169,688",48.69,0.4,-16.66,1
180,1735,2.78,5.62,19.35,"121,877",51.41,0.79,-37.2,0
181,1736,2.45,7.33,47.23,"2,362,781",67.03,0.98,-42.25,0
182,1737,4.82,5.93,41.77,"54,581",18.38,0.41,8.42,1
183,1760,0.74,1.43,51.89,"340,687",59.66,0.63,-82.71,0
184,1762,16.57,24.18,44.49,"-18,679",20.61,0.47,354.27,3
185,1773,15.4,21.95,29.85,"-144,552",30.01,1.02,32.68,2
186,1776,2.69,4.59,21.38,"-14,545",41.95,0.73,-24.65,1
187,1783,5.89,7.37,46.87,"58,492",10.06,0.43,5.32,1
188,1786,6.54,8.87,73.53,"41,192",25.73,0.25,6.05,1
189,1789,4.11,4.65,42.73,"-69,358",11.12,0.26,30.19,2
190,1795,4.87,11.21,42.84,"2,046,446",55.73,0.57,34.2,2
191,1802,4.18,8.21,16.89,"-123,096",47.96,0.47,253.14,3
192,1805,-4.29,-9.64,9.45,"1,002",56.1,0.15,15.37,2
193,1806,-4.2,-7.26,19.15,"541,742",44.24,0.36,5.25,1
194,1808,0.51,3.15,13.28,"2,293,538",86.22,0.23,-82.12,0
195,1809,-2.26,-2.83,17.88,"59,170",19.24,0.42,-21.87,1
196,1810,2.26,4.2,24.59,"-58,762",44.58,0.47,120.92,3
197,1817,5.85,8.72,31.83,"194,381",32.7,0.91,22.35,2
198,1903,12.66,30.1,33.55,"-1,014,971",54.63,0.02,24.42,2
199,1904,4.7,10.8,26.49,"3,976,186",56.09,0.67,59.51,2
200,1905,-0.86,-1.59,6.67,"-521,122",48.01,0.58,-3.41,1
201,1906,35.74,49.08,10.8,"291,245",23.73,0.18,-23.13,1
202,1907,5.37,12.06,20.46,"3,005,350",52.91,0.6,148.3,3
203,1909,4.27,12.89,15.68,"-4,038,465",65.49,0.58,84.62,3
204,2002,-0.1,-0.19,4.8,"15,295,005",49.2,0.48,-78.14,0
205,2006,7.42,13.14,15.45,"4,828,596",37.62,0.93,128.31,3
206,2007,-2.65,-7.01,-2.92,"-1,771,331",42.62,0.31,25.76,2
207,2008,5.54,12.56,2.29,"285,869",58.39,0.16,73.58,2
208,2009,15.37,21.18,-0.94,"-3,386",24.67,0.4,179.73,3
209,2010,3.45,5.66,7.0,"135,242",39.82,1.08,124.74,3
210,2012,1.58,4.06,14.27,"892,064",61.55,0.74,-50.72,0
